2020-12-30 21:21:17,161: Key.caps_lock
2020-12-30 21:21:18,438: Key.enter
2020-12-30 21:21:19,025: Key.right
2020-12-30 21:21:19,521: Key.right
2020-12-30 21:21:19,551: Key.right
2020-12-30 21:21:19,714: Key.right
2020-12-30 21:21:19,964: Key.right
2020-12-30 21:21:20,409: Key.backspace
2020-12-30 21:21:20,552: Key.backspace
2020-12-30 21:21:20,782: Key.backspace
2020-12-30 21:21:20,955: Key.backspace
2020-12-30 21:21:21,265: Key.backspace
2020-12-30 21:21:40,410: Key.backspace
2020-12-30 21:21:49,872: Key.backspace
2020-12-30 21:21:50,082: s
2020-12-30 21:21:50,385: e
2020-12-30 21:21:50,677: c
2020-12-30 21:21:51,535: r
2020-12-30 21:21:51,665: e
2020-12-30 21:21:51,813: t
2020-12-30 21:21:55,210: Key.backspace
2020-12-30 21:21:55,525: s
2020-12-30 21:21:55,898: e
2020-12-30 21:21:56,016: c
2020-12-30 21:21:56,572: Key.enter
2020-12-30 21:21:59,385: ,
2020-12-30 21:22:10,419: Key.backspace
2020-12-30 21:22:11,370: Key.backspace
2020-12-30 21:22:12,143: Key.space
2020-12-30 21:22:12,424: Key.space
2020-12-30 21:22:12,654: Key.space
2020-12-30 21:22:17,869: Key.enter
2020-12-30 21:22:18,266: m
2020-12-30 21:22:18,474: s
2020-12-30 21:22:18,642: g
2020-12-30 21:22:19,735: .
2020-12-30 21:22:20,267: a
2020-12-30 21:22:20,928: Key.enter
2020-12-30 21:22:21,745: Key.caps_lock
2020-12-30 21:22:21,926: m
2020-12-30 21:22:22,072: Key.caps_lock
2020-12-30 21:22:25,881: Key.enter
2020-12-30 21:22:26,397: Key.shift
2020-12-30 21:22:27,490: (
2020-12-30 21:22:27,949: s
2020-12-30 21:22:30,308: Key.enter
2020-12-30 21:22:31,525: ,
2020-12-30 21:22:31,877: Key.shift
2020-12-30 21:22:32,068: "
2020-12-30 21:22:32,396: p
2020-12-30 21:22:32,669: l
2020-12-30 21:22:33,247: a
2020-12-30 21:22:33,553: i
2020-12-30 21:22:33,791: n
2020-12-30 21:23:01,088: i
2020-12-30 21:23:01,642: m
2020-12-30 21:23:01,945: p
2020-12-30 21:23:02,138: o
2020-12-30 21:23:02,359: r
2020-12-30 21:23:02,511: t
2020-12-30 21:23:02,746: Key.space
2020-12-30 21:23:02,943: s
2020-12-30 21:23:03,240: m
2020-12-30 21:23:03,689: t
2020-12-30 21:23:04,531: p
2020-12-30 21:23:04,806: l
2020-12-30 21:23:05,060: i
2020-12-30 21:23:05,335: b
2020-12-30 21:23:05,653: Key.enter
2020-12-30 21:23:10,112: p
2020-12-30 21:23:10,408: i
2020-12-30 21:23:10,636: p
2020-12-30 21:23:10,926: Key.space
2020-12-30 21:23:11,211: i
2020-12-30 21:23:11,402: n
2020-12-30 21:23:11,527: s
2020-12-30 21:23:11,687: t
2020-12-30 21:23:11,889: a
2020-12-30 21:23:12,087: l
2020-12-30 21:23:12,220: l
2020-12-30 21:23:12,405: Key.space
2020-12-30 21:23:12,599: s
2020-12-30 21:23:13,159: m
2020-12-30 21:23:13,705: t
2020-12-30 21:23:14,273: p
2020-12-30 21:23:14,469: l
2020-12-30 21:23:14,718: i
2020-12-30 21:23:14,964: v
2020-12-30 21:23:15,434: Key.backspace
2020-12-30 21:23:15,794: b
2020-12-30 21:23:16,101: Key.enter
2020-12-30 21:24:13,114: Key.ctrl_l
2020-12-30 21:24:13,855: \x18
2020-12-30 21:24:15,717: Key.enter
2020-12-30 21:24:15,919: Key.ctrl_l
2020-12-30 21:24:16,168: \x16
2020-12-30 21:24:30,318: Key.backspace
2020-12-30 21:24:30,583: Key.shift
2020-12-30 21:24:31,057: Key.shift
2020-12-30 21:24:31,377: "
2020-12-30 21:24:31,979: Key.right
2020-12-30 21:24:32,224: Key.right
